fråga;källa;år
Clas Ohlson vs Indiska;Clas Ohlson grundat 1918 (postorder, Insjön); Indiska grundat 1901;2026
Espresso House vs Smarteyes;Espresso House grundat 1996 (Lund); Smarteyes grundat 2007 (Borås, första butik april 2007);2026
Jula vs Mio;Jula grundat 1979 (Sjötorp); Mio grundat 1962;2026
Kicks vs Willys;Kicks grundat 1991 (Kooperativa Förbundet); Willys grundat 1975;2026
Houdini vs Klättermusen;Houdini Sportswear grundat 1993; Klättermusen grundat 1975;2026
Filippa K vs Nudie Jeans;Filippa K grundat 1993; Nudie Jeans grundat 2001;2026
Max Burgers vs Sibylla;Max Burgers grundat 1968 (Gällivare); Sibylla grundat 1932 (korv, Stockholm);2026
Peak Performance vs Tenson;Peak Performance grundat 1986 (Åre); Tenson grundat 1951 (Varberg);2026
Polarn O. Pyret vs Thule;Polarn O. Pyret grundat 1976; Thule grundat 1942 (Hillerstorp);2026
Happy Socks vs Gina Tricot;Happy Socks grundat 2008; Gina Tricot grundat 1997 (Borås);2026
Pinchos vs O'Learys;Pinchos grundat 2012 (Göteborg); O'Learys grundat 1988 (Göteborg);2026
Wayne's Coffee vs Scan;Wayne's Coffee grundat 1994; Scan (charkuteri) grundat 1899;2026
Rusta vs Åhléns;Rusta grundat 1986 (Gävle); Åhléns grundat 1899 (Insjön);2026
Oriflame vs Bastard Burgers;Oriflame grundat 1967 (Robert & Jonas af Jochnick); Bastard Burgers grundat 2016 (Luleå);2026
Lindex vs Pinchos;Lindex grundat 1954 (Alingsås); Pinchos grundat 2012;2026
Hestra vs City Gross;Hestra (handskar) grundat 1936; City Gross grundat 1993;2026
Morakniv vs Bastard Burgers;Morakniv grundat 1891 (Mora); Bastard Burgers grundat 2016;2026
Primus vs Smarteyes;Primus grundat 1892 (Stockholm, fotogenkök); Smarteyes grundat 2007 (Borås);2026
Åbro vs Nudie Jeans;Åbro Bryggeri grundat 1856 (Vimmerby); Nudie Jeans grundat 2001;2026
Tiger of Sweden vs Matsmart;Tiger of Sweden grundat 1903; Matsmart grundat 2014;2026
