fråga;källa;år
Amazon vs Nvidia;Amazon grundat 1994 (Jeff Bezos, Seattle) → 32 år; Nvidia grundat 1993 → 33 år.;2026
AMD vs Intel;AMD (Advanced Micro Devices) grundat 1969 → 57 år; Intel grundat 1968 → 58 år.;2026
DeWalt vs Festool;DeWalt grundat 1924 (Raymond DeWalt) → 102 år; Festool grundat 1925 (som Fezer & Stoll) → 101 år.;2026
Expedia vs Kayak;Expedia grundat 1996 (Microsoft-avknoppning) → 30 år; Kayak grundat 2004 → 22 år.;2026
Avis vs Qualcomm;Avis grundat 1946 (Warren Avis) → 80 år; Qualcomm grundat 1985 → 41 år.;2026
Maruti Suzuki vs BYD;Maruti grundat 1981 (Indien) → 45 år; BYD grundat 1995 (Kina) → 31 år.;2026
Enterprise vs Lonely Planet;Enterprise Rent-A-Car grundat 1957 → 69 år; Lonely Planet grundat 1973 → 53 år.;2026
Budget vs Iveco;Budget Rent a Car grundat 1958 → 68 år; Iveco grundat 1975 → 51 år.;2026
Sennheiser vs JD Sports;Sennheiser grundat 1945 → 81 år; JD Sports grundat 1981 → 45 år.;2026
Craftsman vs Micron;Craftsman grundat 1927 (Sears) → 99 år; Micron Technology grundat 1978 → 48 år.;2026
Ryobi vs Sixt;Ryobi grundat 1943 (Japan) → 83 år; Sixt grundat 1912 → 114 år.;2026
Trivago vs Europcar;Trivago grundat 2005 → 21 år; Europcar grundat 1949 → 77 år.;2026
Naver vs Liebherr;Naver grundat 1999 (Sydkorea) → 27 år; Liebherr grundat 1949 → 77 år.;2026
Li Auto vs Maruti Suzuki;Li Auto grundat 2015 (Kina) → 11 år; Maruti grundat 1981 → 45 år.;2026
Shazam vs Hilti;Shazam grundat 1999 → 27 år; Hilti grundat 1941 (Liechtenstein) → 85 år.;2026
Patreon vs Benefit;Patreon grundat 2013 → 13 år; Benefit Cosmetics grundat 1976 → 50 år.;2026
Goodreads vs Milwaukee Tool;Goodreads grundat 2007 → 19 år; Milwaukee Tool grundat 1924 → 102 år.;2026
MyFitnessPal vs Enterprise;MyFitnessPal grundat 2005 → 21 år; Enterprise Rent-A-Car grundat 1957 → 69 år.;2026
Letterboxd vs Avis;Letterboxd grundat 2011 → 15 år; Avis grundat 1946 → 80 år.;2026
National Geographic vs Li Auto;National Geographic grundat 1888 → 138 år; Li Auto grundat 2015 → 11 år.;2026
Stanley vs Goodreads;Stanley Works grundat 1843 → 183 år; Goodreads grundat 2007 → 19 år.;2026
Festool vs Patreon;Festool grundat 1925 → 101 år; Patreon grundat 2013 → 13 år.;2026
