fråga;källa;år
Sainsbury's vs Marks & Spencer;Wikipedia: Sainsbury's grundat 1869, Marks & Spencer grundat 1884;2026
Waitrose vs Lidl;Wikipedia: Waitrose grundat 1904, Lidl (butikskedjan) startad 1973;2026
Barilla vs Knorr;Wikipedia: Barilla grundat 1877, Knorr grundat 1838;2026
Tetley vs La Croix;Wikipedia: Tetley grundat 1837, La Croix lanserat 1980;2026
Hankook vs Continental;Wikipedia: Hankook grundat 1941, Continental grundat 1871;2026
Belkin vs Klipsch;Wikipedia: Belkin grundat 1983, Klipsch grundat 1946;2026
Netgear vs Bowers & Wilkins;Wikipedia: Netgear grundat 1996, Bowers & Wilkins grundat 1966;2026
Ricoh vs Brother;Wikipedia: Ricoh grundat 1936, Brother grundat 1908;2026
Ryanair vs Singapore Airlines;Wikipedia: Ryanair grundat 1984, Singapore Airlines härstammar från Malayan Airways 1947;2026
KLM vs Qatar Airways;Wikipedia: KLM grundat 1919, Qatar Airways grundat 1993;2026
Abercrombie & Fitch vs American Eagle;Wikipedia: Abercrombie & Fitch grundat 1892, American Eagle grundat 1977;2026
ASOS vs Forever 21;Wikipedia: ASOS grundat 2000, Forever 21 grundat 1984;2026
Lufthansa vs Weekday;Wikipedia: Deutsche Lufthansa AG grundat 1953, Weekday grundat 2002;2026
Finnair vs Norwegian;Wikipedia: Finnair (Aero O/Y) grundat 1923, Norwegian Air Shuttle grundat 1993;2026
Knorr vs Dasani;Wikipedia: Knorr grundat 1838, Dasani lanserat 1999;2026
Patrón vs Moët & Chandon;Wikipedia: Patrón grundat 1989, Moët & Chandon grundat 1743;2026
Glenlivet vs Monzo;Wikipedia: The Glenlivet grundat 1824, Monzo grundat 2015;2026
Chivas Regal vs Maker's Mark;Wikipedia: Chivas Regal-verksamheten grundad 1801, Maker's Mark grundat 1958;2026
Bolt vs Glenfiddich;Wikipedia: Bolt (Taxify) grundat 2013, Glenfiddich grundat 1886;2026
The Macallan vs N26;Wikipedia: The Macallan grundat 1824, N26 grundat 2013;2026
Deliveroo vs Hormel;Wikipedia: Deliveroo grundat 2013, Hormel grundat 1891;2026
Durex vs Oral-B;Wikipedia: Durex (varumärket) lanserat 1929, Oral-B grundat 1950;2026
Rowenta vs TP-Link;Wikipedia: Rowenta (företaget) grundat 1884, TP-Link grundat 1996;2026
Miele vs D-Link;Wikipedia: Miele grundat 1899, D-Link grundat 1986;2026
COS vs Harman Kardon;Wikipedia: COS (H&M) grundat 2007, Harman Kardon grundat 1953;2026
Monki vs Conagra;Wikipedia: Monki grundat 2006, Conagra (Nebraska Consolidated Mills) grundat 1919;2026
