fråga;källa;år
Pirelli vs Goodyear;Pirelli grundat 1872 (https://en.wikipedia.org/wiki/Pirelli), Goodyear 1898 (https://en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company);2026
Brembo vs Sonic;Brembo grundat 1961 (https://en.wikipedia.org/wiki/Brembo), Sonic Drive-In 1953 (https://en.wikipedia.org/wiki/Sonic_Drive-In);2026
Garnier vs Listerine;Garnier grundat 1904 (https://en.wikipedia.org/wiki/Garnier), Listerine 1879 (https://en.wikipedia.org/wiki/Listerine);2026
Lululemon vs Patagonia;Lululemon grundat 1998 (https://en.wikipedia.org/wiki/Lululemon), Patagonia 1973 (https://en.wikipedia.org/wiki/Patagonia_(clothing));2026
Skechers vs Hollister;Skechers grundat 1992 (https://en.wikipedia.org/wiki/Skechers), Hollister 2000 (https://en.wikipedia.org/wiki/Hollister_Co.);2026
Wagamama vs Subway;Wagamama grundat 1992 (https://en.wikipedia.org/wiki/Wagamama), Subway 1965 (https://en.wikipedia.org/wiki/Subway_(restaurant));2026
Smeg vs Krups;Smeg grundat 1948 (https://en.wikipedia.org/wiki/Smeg_(appliances)), Krups 1846 (https://en.wikipedia.org/wiki/Krups);2026
Aritzia vs Gap;Aritzia grundat 1984 (https://en.wikipedia.org/wiki/Aritzia), Gap 1969 (https://en.wikipedia.org/wiki/Gap_Inc.);2026
Sephora vs Lush;Sephora grundat 1969 (https://en.wikipedia.org/wiki/Sephora), Lush 1995 (https://en.wikipedia.org/wiki/Lush_(company));2026
Mango vs H&M;Mango grundat 1984 (https://en.wikipedia.org/wiki/Mango_(retailer)), H&M 1947 (https://en.wikipedia.org/wiki/H%26M);2026
Porsche vs Tesla;Porsche grundat 1931 (https://en.wikipedia.org/wiki/Porsche), Tesla 2003 (https://en.wikipedia.org/wiki/Tesla,_Inc.);2026
Diesel vs Levi's;Diesel grundat 1978 (https://en.wikipedia.org/wiki/Diesel_(brand)), Levi's 1853 (https://en.wikipedia.org/wiki/Levi_Strauss_%26_Co.);2026
Heinz vs Doritos;Heinz grundat 1869 (https://en.wikipedia.org/wiki/Heinz), Doritos 1964 (https://en.wikipedia.org/wiki/Doritos);2026
Axe vs Nivea;Axe grundat 1983 (https://en.wikipedia.org/wiki/Axe_(brand)), Nivea 1911 (https://en.wikipedia.org/wiki/Nivea);2026
Colgate vs Crest;Colgate grundat 1806 (https://en.wikipedia.org/wiki/Colgate-Palmolive), Crest 1955 (https://en.wikipedia.org/wiki/Crest_(toothpaste));2026
GoPro vs Kodak;GoPro grundat 2002 (https://en.wikipedia.org/wiki/GoPro), Kodak 1888 (https://en.wikipedia.org/wiki/Kodak);2026
Burberry vs Calvin Klein;Burberry grundat 1856 (https://en.wikipedia.org/wiki/Burberry), Calvin Klein 1968 (https://en.wikipedia.org/wiki/Calvin_Klein);2026
Swatch vs Cartier;Swatch grundat 1983 (https://en.wikipedia.org/wiki/Swatch), Cartier 1847 (https://en.wikipedia.org/wiki/Cartier_(jeweler));2026
Quaker vs Pringles;Quaker Oats grundat 1877 (https://en.wikipedia.org/wiki/Quaker_Oats_Company), Pringles 1968 (https://en.wikipedia.org/wiki/Pringles);2026
Monster Energy vs Pepsi;Monster Energy grundat 2002 (https://en.wikipedia.org/wiki/Monster_Energy), Pepsi 1898 (https://en.wikipedia.org/wiki/Pepsi);2026
Twinings vs Crocs;Twinings grundat 1706 (https://en.wikipedia.org/wiki/Twinings), Crocs 2002 (https://en.wikipedia.org/wiki/Crocs);2026
Discord vs Hershey;Discord grundat 2015 (https://en.wikipedia.org/wiki/Discord), Hershey 1894 (https://en.wikipedia.org/wiki/The_Hershey_Company);2026
Schweppes vs Gymshark;Schweppes grundat 1783 (https://en.wikipedia.org/wiki/Schweppes), Gymshark 2012 (https://en.wikipedia.org/wiki/Gymshark);2026
Tiffany & Co vs Shein;Tiffany & Co grundat 1837 (https://en.wikipedia.org/wiki/Tiffany_%26_Co.), Shein 2008 (https://en.wikipedia.org/wiki/Shein);2026
Rolex vs Temu;Rolex grundat 1905 (https://en.wikipedia.org/wiki/Rolex), Temu 2022 (https://en.wikipedia.org/wiki/Temu);2026
