fråga;källa;år
Asahi vs Peroni;Wikipedia: Asahi Breweries (1889), Peroni Brewery (1846);2026
Tsingtao vs Birra Moretti;Wikipedia: Tsingtao Brewery (1903), Birra Moretti (1859);2026
Modelo vs Heineken;Wikipedia: Grupo Modelo (1925), Heineken (1864);2026
Corona vs Budweiser;Wikipedia: Corona/Cervecería Modelo (1925), Anheuser-Busch Budweiser (1876);2026
Maytag vs Whirlpool;Wikipedia: Maytag (1893), Whirlpool Corporation (1911);2026
Indian Motorcycle vs Vespa;Wikipedia: Indian Motocycle (1901), Vespa/Piaggio (1946);2026
Stüssy vs Breyers;Wikipedia: Stüssy (1980), Breyers (1866);2026
7Up vs DC Shoes;Wikipedia: 7Up (1929), DC Shoes (1994);2026
Jaeger-LeCoultre vs Vacheron Constantin;Wikipedia: Jaeger-LeCoultre (1833), Vacheron Constantin (1755);2026
IWC vs Billabong;Wikipedia: IWC Schaffhausen (1868), Billabong (1973);2026
Givenchy vs Loewe;Wikipedia: Givenchy (1952), Loewe (1846);2026
Balenciaga vs Saint Laurent;Wikipedia: Balenciaga (1919), Yves Saint Laurent (1961);2026
Valentino vs Fendi;Wikipedia: Valentino (1960), Fendi (1925);2026
Chopard vs Marc Jacobs;Wikipedia: Chopard (1860), Marc Jacobs (1984);2026
Kate Spade vs Hamilton;Wikipedia: Kate Spade New York (1993), Hamilton Watch Company (1892);2026
Stuart Weitzman vs Allen Edmonds;Wikipedia: Stuart Weitzman (1986), Allen Edmonds (1922);2026
Jimmy Choo vs Cole Haan;Wikipedia: Jimmy Choo (1996), Cole Haan (1928);2026
Furla vs Christian Louboutin;Wikipedia: Furla (1927), Christian Louboutin (1991);2026
KTM vs Aprilia;Wikipedia: KTM (1934), Aprilia (1945);2026
Butterfinger vs Liquid Death;Wikipedia: Butterfinger (1923), Liquid Death (2019);2026
NA-KD vs Breyers;Wikipedia: NA-KD (2015), Breyers (1866);2026
Truecaller vs Panerai;Wikipedia: Truecaller (2009), Panerai (1860);2026
Jaeger-LeCoultre vs Mentimeter;Wikipedia: Jaeger-LeCoultre (1833), Mentimeter (2014);2026
Loewe vs NA-KD;Wikipedia: Loewe (1846), NA-KD (2015);2026
Chopard vs Epidemic Sound;Wikipedia: Chopard (1860), Epidemic Sound (2009);2026
