fråga;källa;år
Renault vs Ford;Renault grundat 1899 (ålder 127, en.wikipedia.org/wiki/Renault), Ford grundat 1903 (ålder 123, en.wikipedia.org/wiki/Ford_Motor_Company);2026
Cheerios vs Marvel;Cheerios (Cheerioats) lanserad 1941 (ålder 85, en.wikipedia.org/wiki/Cheerios), Marvel (Timely) grundat 1939 (ålder 87, en.wikipedia.org/wiki/Marvel_Comics);2026
Nescafé vs Krispy Kreme;Nescafé lanserad 1938 (ålder 88, en.wikipedia.org/wiki/Nescafé), Krispy Kreme grundat 1937 (ålder 89, en.wikipedia.org/wiki/Krispy_Kreme);2026
Burger King vs Timberland;Burger King (Miami) grundat 1954 (ålder 72, en.wikipedia.org/wiki/Burger_King), Timberland-stövel lanserad 1973 (ålder 53, en.wikipedia.org/wiki/Timberland_(company));2026
Doritos vs Nespresso;Doritos lanserad 1964 (ålder 62, en.wikipedia.org/wiki/Doritos), Nespresso grundat 1986 (ålder 40, en.wikipedia.org/wiki/Nespresso);2026
Gatorade vs Five Guys;Gatorade utvecklad 1965 (ålder 61, en.wikipedia.org/wiki/Gatorade), Five Guys grundat 1986 (ålder 40, en.wikipedia.org/wiki/Five_Guys);2026
Tommy Hilfiger vs Häagen-Dazs;Tommy Hilfiger grundat 1985 (ålder 41, en.wikipedia.org/wiki/Tommy_Hilfiger_(company)), Häagen-Dazs grundat 1960 (ålder 66, en.wikipedia.org/wiki/Häagen-Dazs);2026
Shake Shack vs Ben & Jerry's;Shake Shack grundat 2004 (ålder 22, en.wikipedia.org/wiki/Shake_Shack), Ben & Jerry's grundat 1978 (ålder 48, en.wikipedia.org/wiki/Ben_%26_Jerry%27s);2026
Atari vs Subaru;Atari grundat 1972 (ålder 54, en.wikipedia.org/wiki/Atari,_Inc.), Subaru (Fuji Heavy Industries) grundat 1953 (ålder 73, en.wikipedia.org/wiki/Subaru_Corporation);2026
Nissan vs Hyundai;Nissan grundat 1933 (ålder 93, en.wikipedia.org/wiki/Nissan), Hyundai Motor grundat 1967 (ålder 59, en.wikipedia.org/wiki/Hyundai_Motor_Company);2026
Citizen vs Michelin;Citizen grundat 1918 (ålder 108, en.wikipedia.org/wiki/Citizen_Watch), Michelin grundat 1889 (ålder 137, en.wikipedia.org/wiki/Michelin);2026
Dunkin' vs Costa Coffee;Dunkin' grundat 1950 (ålder 76, en.wikipedia.org/wiki/Dunkin'_Donuts), Costa Coffee grundat 1971 (ålder 55, en.wikipedia.org/wiki/Costa_Coffee);2026
Telegram vs Atari;Telegram grundat 2013 (ålder 13, en.wikipedia.org/wiki/Telegram_(software)), Atari grundat 1972 (ålder 54, en.wikipedia.org/wiki/Atari,_Inc.);2026
Hyundai vs Shake Shack;Hyundai Motor grundat 1967 (ålder 59, en.wikipedia.org/wiki/Hyundai_Motor_Company), Shake Shack grundat 2004 (ålder 22, en.wikipedia.org/wiki/Shake_Shack);2026
OnePlus vs Marshall;OnePlus grundat 2013 (ålder 13, en.wikipedia.org/wiki/OnePlus), Marshall grundat 1962 (ålder 64, en.wikipedia.org/wiki/Marshall_Amplification);2026
Häagen-Dazs vs Oppo;Häagen-Dazs grundat 1960 (ålder 66, en.wikipedia.org/wiki/Häagen-Dazs), Oppo lanserad 2004 (ålder 22, en.wikipedia.org/wiki/Oppo);2026
Pinterest vs Twix;Pinterest grundat 2010 (ålder 16, en.wikipedia.org/wiki/Pinterest), Twix lanserad 1967 (ålder 59, en.wikipedia.org/wiki/Twix);2026
Nespresso vs Listerine;Nespresso grundat 1986 (ålder 40, en.wikipedia.org/wiki/Nespresso), Listerine lanserad 1879 (ålder 147, en.wikipedia.org/wiki/Listerine);2026
Five Guys vs Mars;Five Guys grundat 1986 (ålder 40, en.wikipedia.org/wiki/Five_Guys), Mars Inc. grundat 1911 (ålder 115, en.wikipedia.org/wiki/Mars_Inc.);2026
Swatch vs Goodyear;Swatch grundat 1983 (ålder 43, en.wikipedia.org/wiki/Swatch), Goodyear grundat 1898 (ålder 128, en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company);2026
Quaker vs Pandora;Quaker (Quaker Mill Co., varumärke) 1877 (ålder 149, en.wikipedia.org/wiki/Quaker_Oats_Company), Pandora grundat 1982 (ålder 44, en.wikipedia.org/wiki/Pandora_(jewelry));2026
Telegram vs Evian;Telegram grundat 2013 (ålder 13, en.wikipedia.org/wiki/Telegram_(software)), Evian buteljerad sedan 1829 (ålder 197, en.wikipedia.org/wiki/Evian);2026
Perrier vs Pinterest;Perrier buteljerad sedan 1863 (ålder 163, en.wikipedia.org/wiki/Perrier), Pinterest grundat 2010 (ålder 16, en.wikipedia.org/wiki/Pinterest);2026
OnePlus vs Birkenstock;OnePlus grundat 2013 (ålder 13, en.wikipedia.org/wiki/OnePlus), Birkenstock grundat 1774 (ålder 252, en.wikipedia.org/wiki/Birkenstock);2026
Pirelli vs Oppo;Pirelli grundat 1872 (ålder 154, en.wikipedia.org/wiki/Pirelli), Oppo lanserad 2004 (ålder 22, en.wikipedia.org/wiki/Oppo);2026
Dr Pepper vs Realme;Dr Pepper lanserad 1885 (ålder 141, en.wikipedia.org/wiki/Dr_Pepper), Realme grundat 2018 (ålder 8, en.wikipedia.org/wiki/Realme);2026
Fujifilm vs Threads;Fujifilm (Fuji Photo Film) grundat 1934 (ålder 92, en.wikipedia.org/wiki/Fujifilm), Threads lanserad 2023 (ålder 3, en.wikipedia.org/wiki/Threads_(social_network));2026
