fråga;källa;år
Triumph vs Kawasaki;Triumph (första motorcykeln) 1902 (https://en.wikipedia.org/wiki/Triumph_Motorcycles_Ltd), Kawasaki Heavy Industries 1896 (https://en.wikipedia.org/wiki/Kawasaki_Heavy_Industries);2026
Chrysler vs Dodge;Chrysler 1925 (https://en.wikipedia.org/wiki/Chrysler), Dodge (Dodge Brothers) 1900 (https://en.wikipedia.org/wiki/Dodge);2026
Buick vs GMC;Buick 1903 (https://en.wikipedia.org/wiki/Buick), GMC (General Motors Truck Company) 1911 (https://en.wikipedia.org/wiki/GMC_(automobile));2026
Lexus vs Mini;Lexus 1989 (https://en.wikipedia.org/wiki/Lexus), Mini 1959 (https://en.wikipedia.org/wiki/Mini);2026
Dior vs Armani;Christian Dior 1946 (https://en.wikipedia.org/wiki/Dior), Giorgio Armani 1975 (https://www.companieshistory.com/giorgio-armani/);2026
Wrangler vs Lee;Wrangler 1947 (https://en.wikipedia.org/wiki/Wrangler_(brand)), Lee (H.D. Lee) 1889 (https://en.wikipedia.org/wiki/Lee_(brand));2026
Gap vs Mango;Gap 1969 (https://en.wikipedia.org/wiki/Gap_Inc.), Mango 1984 (https://en.wikipedia.org/wiki/Isak_Andic);2026
Rockstar Games vs EA;Rockstar Games 1998 (https://en.wikipedia.org/wiki/Rockstar_Games), Electronic Arts 1982 (https://en.wikipedia.org/wiki/Electronic_Arts);2026
Lavazza vs Illy;Lavazza 1895 (https://en.wikipedia.org/wiki/Lavazza), Illy 1933 (https://www.coffees.gr/illy-lavazza-history/);2026
Headspace vs Folgers;Headspace 2010 (https://en.wikipedia.org/wiki/Headspace_(company)), Folgers 1850 (https://www.folgerscoffee.com/coffee/1850);2026
Cheetos vs Tostitos;Cheetos lanserat 1948 (https://en.wikipedia.org/wiki/Cheetos), Tostitos lanserat 1980 (https://www.historyoasis.com/tags/frito-lay);2026
Chips Ahoy vs Triscuit;Chips Ahoy 1963 (https://en.wikipedia.org/wiki/Chips_Ahoy!), Triscuit 1900 (https://en.wikipedia.org/wiki/Triscuit);2026
Kinder vs Ferrero Rocher;Kinder Chocolate lanserat 1968 (https://www.ferrero.com/int/en/about-us/a-story-of-a-family), Ferrero Rocher lanserat 1982 (https://en.wikipedia.org/wiki/Ferrero_Rocher);2026
Starburst vs Sour Patch Kids;Starburst (ursprungligen Opal Fruits) 1960 (https://en.wikipedia.org/wiki/Starburst_(candy)), Sour Patch Kids (omdöpt 1985) 1985 (https://en.wikipedia.org/wiki/Sour_Patch_Kids);2026
Hublot vs Cartier;Hublot 1980 (https://en.wikipedia.org/wiki/Hublot), Cartier 1847 (https://en.wikipedia.org/wiki/Cartier);2026
Audemars Piguet vs Fossil;Audemars Piguet 1875 (https://en.wikipedia.org/wiki/Audemars_Piguet), Fossil 1984 (https://en.wikipedia.org/wiki/Fossil_Group);2026
Baileys vs Bacardi;Baileys 1974 (https://en.wikipedia.org/wiki/Baileys_Irish_Cream), Bacardi 1862 (https://en.wikipedia.org/wiki/Bacardi);2026
Jameson vs Captain Morgan;Jameson 1780 (https://en.wikipedia.org/wiki/Jameson_Irish_Whiskey), Captain Morgan 1944 (https://www.masterofmalt.com/distilleries/captain-morgan-rum-distillery/);2026
Vitaminwater vs Minute Maid;Vitaminwater lanserat 2000 (https://en.wikipedia.org/wiki/Energy_Brands), Minute Maid 1945 (https://en.wikipedia.org/wiki/Minute_Maid);2026
Tissot vs Hublot;Tissot 1853 (https://en.wikipedia.org/wiki/Tissot), Hublot 1980 (https://en.wikipedia.org/wiki/Hublot);2026
Arc'teryx vs Mizuno;Arc'teryx 1989 (https://en.wikipedia.org/wiki/Arc'teryx), Mizuno 1906 (https://corp.mizuno.com/en/about/history);2026
Baileys vs Campari;Baileys 1974 (https://en.wikipedia.org/wiki/Baileys_Irish_Cream), Campari 1860 (https://en.wikipedia.org/wiki/Campari_Group);2026
Maybelline vs NYX;Maybelline 1915 (https://en.wikipedia.org/wiki/Maybelline), NYX 1999 (https://en.wikipedia.org/wiki/NYX_Professional_Makeup);2026
Coors vs Nothing;Coors 1873 (https://en.wikipedia.org/wiki/Coors_Brewing_Company), Nothing 2020 (https://en.wikipedia.org/wiki/Nothing_(company));2026
Lucid Motors vs Amstel;Lucid Motors (grundat som Atieva) 2007 (https://en.wikipedia.org/wiki/Lucid_Motors), Amstel 1870 (https://en.wikipedia.org/wiki/Amstel_Brewery);2026
Cointreau vs Xpeng;Cointreau 1849 (https://en.wikipedia.org/wiki/Cointreau), Xpeng 2014 (https://en.wikipedia.org/wiki/XPeng);2026
Nio vs Jim Beam;Nio 2014 (https://en.wikipedia.org/wiki/Nio_(company)), Jim Beam 1795 (https://en.wikipedia.org/wiki/Jim_Beam);2026
