fråga;källa;år
Vilket av märkena är äldst?;Fanta grundades 1940 (ålder 86); Sprite lanserades 1961 (ålder 65) — Wikipedia;2026
Vilket av märkena är äldst?;Wendy's grundades 1969 (ålder 57); Domino's grundades 1960 (ålder 66) — Wikipedia;2026
Vilket av märkena är äldst?;Pixar grundades 1986 (ålder 40); DreamWorks grundades 1994 (ålder 32) — Wikipedia;2026
Vilket av märkena är äldst?;Chevrolet grundades 1911 (ålder 115); Cadillac grundades 1902 (ålder 124) — Wikipedia;2026
Vilket av märkena är äldst?;Tic Tac lanserades 1969 (ålder 57); Mentos lanserades 1932 (ålder 94) — Wikipedia;2026
Vilket av märkena är äldst?;Pringles lanserades 1968 (ålder 58); Lay's grundades 1932 (ålder 94) — Wikipedia;2026
Vilket av märkena är äldst?;Sega grundades 1960 (ålder 66); Capcom grundades 1979 (ålder 47) — Wikipedia;2026
Vilket av märkena är äldst?;Aquafina lanserades 1994 (ålder 32); Mountain Dew grundades 1940 (ålder 86) — Wikipedia;2026
Vilket av märkena är äldst?;Sunkist (läsk) lanserades 1979 (ålder 47); Tropicana grundades 1947 (ålder 79) — Wikipedia;2026
Vilket av märkena är äldst?;Fisher-Price grundades 1930 (ålder 96); Play-Doh lanserades 1956 (ålder 70) — Wikipedia;2026
Vilket av märkena är äldst?;Monopoly lanserades 1935 (ålder 91); Beats grundades 2006 (ålder 20) — Wikipedia;2026
Vilket av märkena är äldst?;Kia grundades 1944 (ålder 82); Škoda grundades 1895 (ålder 131) — Wikipedia;2026
Vilket av märkena är äldst?;Fjällräven grundades 1960 (ålder 66); Stadium grundades 1987 (ålder 39) — Wikipedia;2026
Vilket av märkena är äldst?;Yahoo grundades 1994 (ålder 32); Firefox lanserades 2004 (ålder 22) — Wikipedia;2026
Vilket av märkena är äldst?;Funko grundades 1998 (ålder 28); Razer grundades 2005 (ålder 21) — Wikipedia;2026
Vilket av märkena är äldst?;Swatch grundades 1983 (ålder 43); Seiko grundades 1881 (ålder 145) — Wikipedia;2026
Vilket av märkena är äldst?;Jeep grundades 1943 (ålder 83); Rivian grundades 2009 (ålder 17) — Wikipedia;2026
Vilket av märkena är äldst?;Geely grundades 1986 (ålder 40); Mazda grundades 1920 (ålder 106) — Wikipedia;2026
Vilket av märkena är äldst?;Vita Coco grundades 2004 (ålder 22); Estrella grundades 1957 (ålder 69) — Wikipedia;2026
Vilket av märkena är äldst?;Daniel Wellington grundades 2011 (ålder 15); Björn Borg grundades 1984 (ålder 42) — Wikipedia;2026
Vilket av märkena är äldst?;Tetra Pak grundades 1951 (ålder 75); Roblox lanserades publikt 2006 (ålder 20) — Wikipedia;2026
Vilket av märkena är äldst?;Marshall grundades 1962 (ålder 64); Anker grundades 2011 (ålder 15) — Wikipedia;2026
Vilket av märkena är äldst?;Liquid Death grundades 2019 (ålder 7); Absolut Vodka grundades 1879 (ålder 147) — Wikipedia;2026
Vilket av märkena är äldst?;Hästens grundades 1852 (ålder 174); Gymshark grundades 2012 (ålder 14) — Wikipedia;2026
Vilket av märkena är äldst?;VinFast grundades 2017 (ålder 9); Vespa lanserades 1946 (ålder 80) — Wikipedia;2026
Vilket av märkena är äldst?;Oscar Mayer grundades 1883 (ålder 143); Honor grundades 2013 (ålder 13) — Wikipedia;2026
Vilket av märkena är äldst?;Kopparbergs grundades 1882 (ålder 144); Realme grundades 2018 (ålder 8) — Wikipedia;2026
