fråga;källa;år
"Vilket av märkena är äldst?;Eli Lilly;Pirelli";Wikipedia/Britannica (Eli Lilly grundat 1876, Pirelli grundat 1872);2026
"Vilket av märkena är äldst?;Bristol Myers Squibb;Michelin";Wikipedia (Bristol-Myers grundat 1887, Michelin bolagiserat 1889);2026
"Vilket av märkena är äldst?;Petrobras;Enbridge";Britannica/Wikipedia (Petrobras 1953, Enbridge/IPL 1949);2026
"Vilket av märkena är äldst?;Marvell;Atlassian";Wikipedia (Marvell Technology 1995, Atlassian 2002);2026
"Vilket av märkena är äldst?;Goodyear;Liebherr";Wikipedia/Britannica (Goodyear 1898, Liebherr 1949);2026
"Vilket av märkena är äldst?;Hilti;Stripe";Wikipedia (Hilti 1941, Stripe 2010);2026
"Vilket av märkena är äldst?;Iveco;Caterpillar";Wikipedia/Britannica (Iveco 1975, Caterpillar 1925);2026
"Vilket av märkena är äldst?;Prudential;Aviva";Wikipedia (Prudential plc 1848, Aviva 2000);2026
"Vilket av märkena är äldst?;Snowflake;Atlassian";Wikipedia (Snowflake 2012, Atlassian 2002);2026
"Vilket av märkena är äldst?;Datadog;Workday";Wikipedia (Datadog 2010, Workday 2005);2026
"Vilket av märkena är äldst?;Emerson;Doosan";Wikipedia (Emerson Electric 1890, Doosan 1896);2026
"Vilket av märkena är äldst?;Bayer;Schindler";Wikipedia (Bayer 1863, Schindler 1874);2026
"Vilket av märkena är äldst?;Palantir;Cloudflare";Wikipedia (Palantir 2003, Cloudflare 2009);2026
"Vilket av märkena är äldst?;Gilead;Komatsu";Wikipedia (Gilead Sciences 1987, Komatsu 1921);2026
"Vilket av märkena är äldst?;Teva;Repsol";Wikipedia (Teva 1901, Repsol 1987);2026
"Vilket av märkena är äldst?;Schneider Electric;Marvell";Wikipedia (Schneider 1836, Marvell 1995);2026
"Vilket av märkena är äldst?;Eni;Biogen";Wikipedia (Eni 1953, Biogen 1978);2026
"Vilket av märkena är äldst?;Confluent;Ecolab";Wikipedia (Confluent 2014, Ecolab 1923);2026
"Vilket av märkena är äldst?;Rockwell Automation;Snowflake";Wikipedia (Rockwell Automation 1903, Snowflake 2012);2026
"Vilket av märkena är äldst?;Mastercard;ABN AMRO";Wikipedia/Britannica (Mastercard 1966, ABN AMRO 1991);2026
"Vilket av märkena är äldst?;Vanguard;Boliden";Wikipedia (Vanguard 1975, Boliden 1925);2026
"Vilket av märkena är äldst?;Western Digital;Toshiba";Wikipedia (Western Digital 1970, Toshiba/Tanaka Seisakusho 1875);2026
"Vilket av märkena är äldst?;Stripe;Maersk";Wikipedia (Stripe 2010, Maersk 1904);2026
"Vilket av märkena är äldst?;HashiCorp;Honeywell";Wikipedia (HashiCorp 2012, Honeywell 1906);2026
"Vilket av märkena är äldst?;Sanofi;Generali";Wikipedia (Sanofi 1973, Generali 1831);2026
"Vilket av märkena är äldst?;Allstate;Continental";Wikipedia (Allstate 1931, Continental AG 1871);2026
"Vilket av märkena är äldst?;Gilead;Bayer";Wikipedia (Gilead Sciences 1987, Bayer 1863);2026
