fråga;källa;år
Toshiba;Toshiba grundades 1875 (ålder 151);1875
Doosan;Doosan grundades 1896 (ålder 130);1896
Phillips 66;Phillips 66 / Phillips Petroleum grundades 1917 (ålder 109);1917
ZF;ZF Friedrichshafen grundades 1915 (ålder 111);1915
AIG;AIG grundades 1919 (ålder 107);1919
Mitsubishi Electric;Mitsubishi Electric grundades 1921 (ålder 105);1921
Commonwealth Bank;Commonwealth Bank of Australia grundades 1911 (ålder 115);1911
BP;BP / Anglo-Persian Oil grundades 1909 (ålder 117);1909
HubSpot;HubSpot grundades 2006 (ålder 20);2006
GitLab;GitLab grundades 2011 (ålder 15);2011
Capital One;Capital One grundades 1994 (ålder 32);1994
Discover;Discover grundades 1985 (ålder 41);1985
Valero;Valero Energy grundades 1980 (ålder 46);1980
ABN AMRO;ABN AMRO grundades 1991 (ålder 35);1991
Squarespace;Squarespace grundades 2003 (ålder 23);2003
Iveco;Iveco grundades 1975 (ålder 51);1975
Chubb;Chubb grundades 1882 (ålder 144);1882
Interactive Brokers;Interactive Brokers grundades 1978 (ålder 48);1978
Allstate;Allstate grundades 1931 (ålder 95);1931
Rabobank;Rabobank grundades 1972 (ålder 54);1972
Aviva;Aviva grundades 2000 (ålder 26);2000
Cigna;Cigna grundades 1982 (ålder 44);1982
Brother;Brother Industries grundades 1908 (ålder 118);1908
Progressive;Progressive grundades 1937 (ålder 89);1937
Hankook;Hankook grundades 1941 (ålder 85);1941
TotalEnergies;TotalEnergies / Total grundades 1924 (ålder 102);1924
BBVA;BBVA / Banco de Bilbao grundades 1857 (ålder 169);1857
Lloyds Bank;Lloyds Bank grundades 1765 (ålder 261);1765
Western Union;Western Union grundades 1851 (ålder 175);1851
Enbridge;Enbridge grundades 1949 (ålder 77);1949
ANZ;ANZ / Bank of Australasia grundades 1835 (ålder 191);1835
Docker;Docker grundades 2013 (ålder 13);2013
Vercel;Vercel grundades 2015 (ålder 11);2015
GitHub;GitHub grundades 2008 (ålder 18);2008
