fråga;källa;år
Hisense vs Brembo;Hisense grundat 1969 (https://en.wikipedia.org/wiki/Hisense), Brembo grundat 1961 (https://en.wikipedia.org/wiki/Brembo);2026
Acer vs TCL;Acer (Multitech) grundat 1976 (https://en.wikipedia.org/wiki/Acer_Inc.), TCL grundat 1981 (https://en.wikipedia.org/wiki/TCL_Technology);2026
Stanley vs Anker;Stanley (Stanley Works) grundat 1843 (https://en.wikipedia.org/wiki/Stanley_Hand_Tools), Anker grundat 2011 (https://en.wikipedia.org/wiki/Anker_Innovations);2026
AXA vs Honor;AXA-ursprung 1816 (https://en.wikipedia.org/wiki/Axa), Honor grundat 2013 (https://en.wikipedia.org/wiki/Honor_(company));2026
Vivo vs Westpac;Vivo grundat 2009 (https://en.wikipedia.org/wiki/Vivo_(technology_company)), Westpac (Bank of New South Wales) grundat 1817 (https://en.wikipedia.org/wiki/Westpac);2026
Sonos vs Hilti;Sonos grundat 2002 (https://en.wikipedia.org/wiki/Sonos), Hilti grundat 1941 (https://en.wikipedia.org/wiki/Hilti);2026
Bitdefender vs Nikon;Bitdefender grundat 2001 (https://en.wikipedia.org/wiki/Bitdefender), Nikon grundat 1917 (https://en.wikipedia.org/wiki/Nikon);2026
McAfee vs Commonwealth Bank;McAfee grundat 1987 (https://en.wikipedia.org/wiki/McAfee), Commonwealth Bank grundad 1911 (https://en.wikipedia.org/wiki/Commonwealth_Bank);2026
Liberty Mutual vs Kaspersky;Liberty Mutual grundat 1912 (https://en.wikipedia.org/wiki/Liberty_Mutual), Kaspersky grundat 1997 (https://en.wikipedia.org/wiki/Kaspersky_Lab);2026
Netgear vs DeWalt;Netgear grundat 1996 (https://en.wikipedia.org/wiki/Netgear), DeWalt grundat 1924 (https://en.wikipedia.org/wiki/DeWalt);2026
Festool vs Oppo;Festool grundat 1925 som Fezer & Stoll, firar 100 år 2025 (https://en.wikipedia.org/wiki/Festool), Oppo grundat 2004 (https://en.wikipedia.org/wiki/Oppo);2026
Avast vs Crédit Agricole;Avast grundat 1988 (https://en.wikipedia.org/wiki/Avast), Crédit Agricole-lag 1894 som skapade lokalbankerna (https://en.wikipedia.org/wiki/Cr%C3%A9dit_Agricole);2026
Fortinet vs BlackRock;Fortinet grundat 2000 (https://en.wikipedia.org/wiki/Fortinet), BlackRock grundat 1988 (https://en.wikipedia.org/wiki/BlackRock);2026
eToro vs Sentry;eToro grundat 2007 (https://en.wikipedia.org/wiki/EToro), Sentry grundat 2012 (https://research.contrary.com/company/sentry);2026
Discover vs Corsair;Discover grundat 1985 (https://en.wikipedia.org/wiki/Discover_Card), Corsair grundat 1994 (https://en.wikipedia.org/wiki/Corsair_Gaming);2026
Razer vs Capital One;Razer Inc. grundat 2005 (https://en.wikipedia.org/wiki/Razer_Inc.), Capital One grundat 1994 (https://en.wikipedia.org/wiki/Capital_One);2026
Wise vs Trading 212;Wise (TransferWise) grundat 2011 (https://en.wikipedia.org/wiki/Wise_(company)), Trading 212 grundat 2004 som Avus Capital (https://en.wikipedia.org/wiki/Trading_212);2026
Venmo vs Nubank;Venmo grundat 2009 (https://en.wikipedia.org/wiki/Venmo), Nubank grundat 2013 (https://en.wikipedia.org/wiki/Nubank);2026
Kraken vs Revolut;Kraken grundat 2011 (https://en.wikipedia.org/wiki/Kraken_(cryptocurrency_exchange)), Revolut grundat 2015 (https://en.wikipedia.org/wiki/Revolut);2026
Chime vs Monzo;Chime grundat 2012 (https://en.wikipedia.org/wiki/Chime_(company)), Monzo grundat 2015 (https://en.wikipedia.org/wiki/Monzo);2026
Visa vs E*Trade;Visa-ursprung 1958 som BankAmericard (https://en.wikipedia.org/wiki/Visa_Inc.), E*Trade-namnet/varumärket 1992 (rättat från 1991) (https://en.wikipedia.org/wiki/E-Trade);2026
