fråga;källa;år
Boeing vs IBM;Boeing grundat 1916 (https://en.wikipedia.org/wiki/Boeing), IBM grundat 1911 (https://en.wikipedia.org/wiki/IBM);1916/1911 → 110/115
Bosch vs Michelin;Bosch grundat 1886 (https://www.bosch.com/company/our-history/), Michelin grundat 1889 (https://en.wikipedia.org/wiki/Michelin);1886/1889 → 140/137
Goldman Sachs vs MetLife;Goldman Sachs grundat 1869 (https://www.goldmansachs.com/our-firm/history), MetLife grundat 1868 (https://en.wikipedia.org/wiki/MetLife);1869/1868 → 157/158
Deutsche Bank vs Continental;Deutsche Bank grundat 1870 (https://en.wikipedia.org/wiki/Deutsche_Bank), Continental grundat 1871 (https://en.wikipedia.org/wiki/Continental_AG);1870/1871 → 156/155
Salesforce vs Cisco;Salesforce grundat 1999 (https://en.wikipedia.org/wiki/Salesforce), Cisco grundat 1984 (https://en.wikipedia.org/wiki/Cisco);1999/1984 → 27/42
Nvidia vs Stripe;Nvidia grundat 1993 (https://en.wikipedia.org/wiki/Nvidia), Stripe grundat 2010 (https://en.wikipedia.org/wiki/Patrick_Collison);1993/2010 → 33/16
BlackRock vs Intel;BlackRock grundat 1988 (https://en.wikipedia.org/wiki/BlackRock), Intel grundat 1968 (https://en.wikipedia.org/wiki/Intel);1988/1968 → 38/58
Fidelity vs Vanguard;Fidelity grundat 1946 (https://en.wikipedia.org/wiki/Fidelity_Investments), Vanguard grundat 1975 (https://www.britannica.com/money/Fidelity-Investments);1946/1975 → 80/51
Oracle vs PayPal;Oracle grundat 1977 (https://en.wikipedia.org/wiki/Oracle_Corporation), PayPal grundat 1998 som Confinity (https://en.wikipedia.org/wiki/PayPal);1977/1998 → 49/28
Gilead vs AMD;Gilead Sciences grundat 1987 (https://en.wikipedia.org/wiki/Gilead_Sciences), AMD grundat 1969 (https://en.wikipedia.org/wiki/AMD);1987/1969 → 39/57
Repsol vs Petrobras;Repsol grundat 1987 (https://en.wikipedia.org/wiki/Repsol), Petrobras grundat 1953 (https://www.fundinguniverse.com/company-histories/repsol-s-a-history/);1987/1953 → 39/73
DSV vs Camfil;DSV grundat 1976 (https://en.wikipedia.org/wiki/DSV_(company)), Camfil grundat 1963 (https://en.wikipedia.org/wiki/Camfil);1976/1963 → 50/63
Wells Fargo vs Bank of America;Wells Fargo grundat 1852 (https://en.wikipedia.org/wiki/Wells_Fargo_(1852%E2%80%931998)), Bank of America grundat 1904 som Bank of Italy (https://en.wikipedia.org/wiki/Bank_of_America);1852/1904 → 174/122
Billerud vs AXA;Billerud grundat 1883 i Säffle (https://en.wikipedia.org/wiki/Billerud), AXA grundat 1816 (https://en.wikipedia.org/wiki/Axa);1883/1816 → 143/210
Hilti vs Goodyear;Hilti grundat 1941 (https://en.wikipedia.org/wiki/Hilti), Goodyear grundat 1898 (https://en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company);1941/1898 → 85/128
Biogen vs Eli Lilly;Biogen grundat 1978 (https://en.wikipedia.org/wiki/Biogen), Eli Lilly grundat 1876 (https://en.wikipedia.org/wiki/Eli_Lilly_and_Company);1978/1876 → 48/150
UPS vs Juniper Networks;UPS grundat 1907 (https://en.wikipedia.org/wiki/United_Parcel_Service), Juniper Networks grundat 1996 (https://en.wikipedia.org/wiki/Juniper_Networks);1907/1996 → 119/30
Charles Schwab vs Alfa Laval;Charles Schwab grundat 1971 (https://en.wikipedia.org/wiki/Charles_Schwab_Corporation), Alfa Laval grundat 1883 (https://en.wikipedia.org/wiki/Alfa_Laval);1971/1883 → 55/143
Chevron vs DHL;Chevron grundat 1879 som Pacific Coast Oil (https://en.wikipedia.org/wiki/Chevron_Corporation), DHL grundat 1969 (https://en.wikipedia.org/wiki/DHL);1879/1969 → 147/57
Teva vs AkzoNobel;Teva grundat 1901 (https://en.wikipedia.org/wiki/Teva_Pharmaceuticals), AkzoNobel grundat 1994 (https://en.wikipedia.org/wiki/AkzoNobel);1901/1994 → 125/32
Henkel vs Vanguard;Henkel grundat 1876 (https://en.wikipedia.org/wiki/Henkel), Vanguard grundat 1975 (https://www.britannica.com/money/Fidelity-Investments);1876/1975 → 150/51
Panasonic vs Red Hat;Panasonic grundat 1918 som Matsushita (https://en.wikipedia.org/wiki/Panasonic), Red Hat grundat 1993 (https://en.wikipedia.org/wiki/Red_Hat);1918/1993 → 108/33
Bridgestone vs ING;Bridgestone grundat 1931 (https://en.wikipedia.org/wiki/Bridgestone), ING grundat 1991 (https://en.wikipedia.org/wiki/ING_Group);1931/1991 → 95/35
Wells Fargo vs Confluent;Wells Fargo grundat 1852 (https://en.wikipedia.org/wiki/Wells_Fargo_(1852%E2%80%931998)), Confluent grundat 2014 (https://en.wikipedia.org/wiki/Confluent);1852/2014 → 174/12
MongoDB vs Barclays;MongoDB grundat 2007 (https://en.wikipedia.org/wiki/MongoDB_Inc.), Barclays grundat 1690 (https://en.wikipedia.org/wiki/Barclays);2007/1690 → 19/336
Coinbase vs AXA;Coinbase grundat 2012 (https://en.wikipedia.org/wiki/Coinbase), AXA grundat 1816 (https://en.wikipedia.org/wiki/Axa);2012/1816 → 14/210
JPMorgan vs Workday;JPMorgan grundat 1871 (https://en.wikipedia.org/wiki/J.P._Morgan_%26_Co.), Workday grundat 2005 (https://en.wikipedia.org/wiki/Workday,_Inc.);1871/2005 → 155/21
