fråga;källa;år
Vilket av märkena är äldst? (BASF);Wikipedia: BASF (grundat 1865);1865
Vilket av märkena är äldst? (Sherwin-Williams);Wikipedia: Sherwin-Williams (grundat 1866);1866
Vilket av märkena är äldst? (Micron);Wikipedia: Micron Technology (grundat 1978);1978
Vilket av märkena är äldst? (National Instruments);Wikipedia: National Instruments (grundat 1976);1976
Vilket av märkena är äldst? (Maersk);Wikipedia: A.P. Moller-Maersk (grundat 1904);1904
Vilket av märkena är äldst? (Baker Hughes);Wikipedia: Baker Hughes (Baker rötter 1907);1907
Vilket av märkena är äldst? (Datadog);Wikipedia: Datadog (grundat 2010);2010
Vilket av märkena är äldst? (Cloudflare);Wikipedia: Cloudflare (grundat 2009);2009
Vilket av märkena är äldst? (SAP);Wikipedia: SAP SE (grundat 1972);1972
Vilket av märkena är äldst? (Citrix);Wikipedia: Citrix Systems (grundat 1989);1989
Vilket av märkena är äldst? (Okta);Wikipedia: Okta Inc. (grundat 2009);2009
Vilket av märkena är äldst? (ServiceNow);Wikipedia: ServiceNow (grundat 2004);2004
Vilket av märkena är äldst? (Halliburton);Wikipedia: Halliburton (grundat 1919);1919
Vilket av märkena är äldst? (Siemens);Wikipedia: Siemens (grundat 1847);1847
Vilket av märkena är äldst? (Parker Hannifin);Wikipedia: Parker Hannifin (grundat 1917);1917
Vilket av märkena är äldst? (Amgen);Wikipedia: Amgen (grundat 1980);1980
Vilket av märkena är äldst? (Boliden);Wikipedia: Boliden AB (grundat 1924);1924
Vilket av märkena är äldst? (Air Liquide);Wikipedia: Air Liquide (grundat 1902);1902
Vilket av märkena är äldst? (Ansys);Wikipedia: Ansys (grundat 1970);1970
Vilket av märkena är äldst? (Regeneron);Wikipedia: Regeneron Pharmaceuticals (grundat 1988);1988
Vilket av märkena är äldst? (Sanofi);Wikipedia: Sanofi (grundat 1973);1973
Vilket av märkena är äldst? (Rockwell Automation);Wikipedia: Rockwell Automation (rötter 1903);1903
Vilket av märkena är äldst? (Dow);Wikipedia: Dow Chemical (grundat 1897);1897
Vilket av märkena är äldst? (Generali);Wikipedia: Assicurazioni Generali (grundat 1831);1831
Vilket av märkena är äldst? (Berkshire Hathaway);Wikipedia: Berkshire Hathaway (textilrötter 1839);1839
Vilket av märkena är äldst? (Kuehne+Nagel);Wikipedia: Kuehne + Nagel (grundat 1890);1890
Vilket av märkena är äldst? (Takeda);Wikipedia: Takeda Pharmaceutical (grundat 1781);1781
Vilket av märkena är äldst? (Merck);Wikipedia: Merck Group (grundat 1668);1668
Vilket av märkena är äldst? (Snowflake);Wikipedia: Snowflake Inc. (grundat 2012);2012
Vilket av märkena är äldst? (Western Digital);Wikipedia: Western Digital (grundat 1970);1970
Vilket av märkena är äldst? (Getinge);Wikipedia: Getinge AB (grundat 1904);1904
Vilket av märkena är äldst? (SK Hynix);Wikipedia: SK Hynix (grundat 1983);1983
Vilket av märkena är äldst? (Epiroc);Wikipedia: Epiroc (avknoppad 2018);2018
Vilket av märkena är äldst? (Keysight);Wikipedia: Keysight Technologies (grundat 2014);2014
Vilket av märkena är äldst? (Autodesk);Wikipedia: Autodesk (grundat 1982);1982
Vilket av märkena är äldst? (LyondellBasell);Wikipedia: LyondellBasell (grundat 2007);2007
Vilket av märkena är äldst? (Hexagon);Wikipedia: Hexagon AB (grundat 1992);1992
Vilket av märkena är äldst? (Thyssenkrupp);Wikipedia: Thyssenkrupp (fusion 1999);1999
Vilket av märkena är äldst? (Prudential);Wikipedia: Prudential plc (grundat 1848);1848
Vilket av märkena är äldst? (Atlas Copco);Wikipedia: Atlas Copco (grundat 1873);1873
Vilket av märkena är äldst? (HashiCorp);Wikipedia: HashiCorp (grundat 2012);2012
