fråga;källa;år
HP vs Epson;"HP grundat 1939 (Palo Alto); Epson-namnet/Seiko Epson 1942 (Daiwa Kogyo)";2026
Baidu vs NetEase;"Baidu grundat 2000 (Robin Li & Eric Xu); NetEase grundat 1997 (Ding Lei)";2026
Lenovo vs Yandex;"Lenovo grundat 1984 (Peking); Yandex grundat 1997";2026
Airbus vs ABB;"Airbus grundat 1970; ABB bildat 1988 (fusion ASEA + BBC Brown Boveri)";2026
Iveco vs DAF;"Iveco grundat 1975 (fusion av italienska lastbilstillverkare); DAF grundat 1928 (Hub van Doorne, Eindhoven)";2026
Dunlop vs JCB;"Dunlop grundat 1889 (Dunlop Pneumatic Tyre Co); JCB grundat 1945 (Joseph Cyril Bamford)";2026
Lenovo vs Sennheiser;"Lenovo grundat 1984; Sennheiser grundat 1945 (Hannover)";2026
NetEase vs SoftBank;"NetEase grundat 1997; SoftBank grundat 1981 (Masayoshi Son)";2026
Dunlop vs DAF;"Dunlop grundat 1889; DAF grundat 1928";2026
Telstra vs Kingston;"Telstra grundat 1975 (Telecom Australia); Kingston Technology grundat 1987";2026
Peterbilt vs HTC;"Peterbilt grundat 1939; HTC grundat 1997";2026
Infineon vs Hankook;"Infineon grundat 1999; Hankook grundat 1941 (Korea)";2026
Toshiba vs Dell;"Toshiba grundat 1875 (Tanaka Seizo-sho); Dell grundat 1984";2026
Kenworth vs SanDisk;"Kenworth grundat 1923; SanDisk grundat 1988";2026
Sennheiser vs MAN;"Sennheiser grundat 1945; MAN-ursprung 1758";2026
Coursera vs Corning;"Coursera grundat 2012; Corning grundat 1851 (Corning Glass Works)";2026
Nikon vs Plaid;"Nikon grundat 1917 (Nippon Kogaku); Plaid grundat 2013";2026
N26 vs Nokia;"N26 grundat 2013 (Berlin); Nokia grundat 1865";2026
