fråga;källa;år
Vilket av märkena är äldst? (Opera/Mozilla);Wikipedia: Opera Software (1995), Mozilla (1998);2026
Vilket av märkena är äldst? (Finnair/Iberia);Wikipedia: Finnair (1923), Iberia (1927);2026
Vilket av märkena är äldst? (Rogers/Ryanair);Wikipedia: Rogers Communications (1960), Ryanair (1984);2026
Vilket av märkena är äldst? (EA/Norwegian);Wikipedia: Electronic Arts (1982), Norwegian Air Shuttle (1993);2026
Vilket av märkena är äldst? (Etihad Airways/Frontier Airlines);Wikipedia: Etihad Airways (2003), Frontier Airlines (1994);2026
Vilket av märkena är äldst? (Zapier/Firefox);Wikipedia: Zapier (2011), Mozilla Firefox (2004);2026
Vilket av märkena är äldst? (SiteGround/Udemy);Wikipedia: SiteGround (2004), Udemy (2010);2026
Vilket av märkena är äldst? (Xfinity/O2);Wikipedia: Xfinity (2010), O2 (2002);2026
Vilket av märkena är äldst? (Thai Airways/Airtel);Wikipedia: Thai Airways International (1960), Bharti Airtel (1995);2026
Vilket av märkena är äldst? (Valve/KLM);Wikipedia: Valve (1996), KLM (1919);2026
Vilket av märkena är äldst? (Air France/JetBlue);Wikipedia: Air France (1933), JetBlue (1999);2026
Vilket av märkena är äldst? (Japan Airlines/Vueling);Wikipedia: Japan Airlines (1951), Vueling (2004);2026
Vilket av märkena är äldst? (Bing/Shell);Wikipedia: Microsoft Bing (2009), Shell plc (1907);2026
Vilket av märkena är äldst? (edX/Nintendo);Wikipedia: edX (2012), Nintendo (1889);2026
Vilket av märkena är äldst? (Wolt/Qantas);Wikipedia: Wolt (2014), Qantas (1920);2026
Vilket av märkena är äldst? (DoorDash/Delta Air Lines);Wikipedia: DoorDash (2013), Delta Air Lines (1925);2026
